
2024-12-01 17:55:17 - Method: POST, Request URL: http://localhost:8080/, Username: nde, Surname: Davison, Status: Authentication Failed
2024-12-01 17:55:27 - Method: POST, Request URL: http://localhost:8080/, Username: nde, Surname: Davison, Status: Authentication Success
2024-12-01 17:55:36 - Method: POST, Request URL: http://localhost:8080/, Username: nde, Surname: 123456, Status: Authentication Failed
2024-12-01 17:55:48 - Method: POST, Request URL: http://localhost:8080/, Username: nde, Surname: 123456, Status: Authentication Failed
2024-12-01 17:55:57 - Method: POST, Request URL: http://localhost:8080/, Username: nde, Surname: Davison, Status: Rate Limited
2024-12-02 14:40:19 - Method: POST, Request URL: http://localhost:8080/, Username: nde, Surname: Scott, Status: Authentication Success
2024-12-02 20:07:50 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Davison, Status: Authentication Success
2024-12-02 20:07:58 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Davison, Status: Authentication Failed
2024-12-02 20:09:46 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Davison, Status: Authentication Failed
2024-12-03 00:14:42 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Davison, Status: Authentication Success
2024-12-03 14:25:12 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Davison, Status: Authentication Success
2024-12-03 14:28:32 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Authentication Failed
2024-12-03 14:33:00 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Authentication Failed
2024-12-03 14:33:05 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Authentication Failed
2024-12-03 14:33:14 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Authentication Failed
2024-12-03 14:33:20 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Authentication Failed
2024-12-03 14:33:26 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Rate Limited
2024-12-03 14:33:46 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Rate Limited
2024-12-03 14:35:16 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Davison, Status: Authentication Success
2024-12-03 14:35:26 - Method: POST, Request URL: http://localhost:8080/, Username: mjones, Surname: Scott, Status: Authentication Failed (Unauthorized user)
